Term ID,Class,Description,Status,Effective Date,Type,Notes,TM5,NCL Version
021-4641,21,Tealight essential oil diffusers,A,01-01-2020,GOODS,"Tealight essential oil diffusers, also spelled ""tea light essential oil diffusers,"" are classified in Class 21 because they function as ""aromatic oil diffusers, other than reed diffusers, electric and non-electric,"" which appears in the Nice Alphabetical List in Class 21, and by analogy to ""perfume burners,"" which also appears in the Nice Alphabetical List in Class 21.",,"""11-2020"""
030-770,30,Soya bean paste [condiment],D,01-01-2020,GOODS,"On 01-01-2020, this 01-01-2007 entry ""Soya bean paste [condiment]"" was deleted in compliance with Nice 11-2020. The entry was replaced by ""Soya bean paste"" in Class 30.",,"""11-2020"""
030-1830,30,Soybean paste,A,01-01-2020,GOODS,"Soybean paste is used as a flavoring. Soybean paste is also called ""miso.""",,"""11-2020"""
029-1046,29,Cooked dish consisting primarily of soybean paste and tofu (doenjang-jjigae),D,01-01-2020,GOODS,"On 09-06-2012, this 08-09-2012 entry was amended to replace the brackets with parentheses. On 01-01-2020, this 09-06-2012 entry was deleted because it is unclear and may be misclassified. Soups and stews are classified in Class 29. Soy bean paste is classified in Class 30.",,"""11-2020"""
030-1431,30,Pelmeni [dumplings stuffed with meat],D,01-01-2020,GOODS,"On 01-01-2020, this 01-01-2015 entry ""Pelmeni [dumplings stuffed with meat]"" was deleted in compliance with Nice 11-2020. The entry was replaced by ""Pelmeni"" in Class 30.",,"""11-2020"""
030-1832,30,Pelmeni,A,01-01-2020,GOODS,Pelmeni are dumplings stuffed with meat.,,"""11-2020"""
030-1539,30,Ramen (Japanese noodle-based dish),D,01-01-2020,GOODS,"On 01-01-2020, this 01-01-2016 entry ""Ramen (Japanese noodle-based dish)"" was deleted in compliance with Nice 11-2020. The entry was replaced by ""Ramen"" in Class 30.",,"""11-2020"""
030-1543,30,Okonomiyaki (Japanese savory pancakes),D,01-01-2020,GOODS,"On 01-01-2020, this 01-01-2016 entry was deleted in compliance with Nice 11-2020. This entry was replaced by ""Savory pancakes"" in Class 30.",,"""11-2020"""
030-1542,30,Okonomiyaki (Japanese savoury pancakes),D,01-01-2020,GOODS,"On 01-01-2020, this 01-01-2016 entry was deleted in compliance with Nice 11-2020. This entry was replaced by ""Savoury pancakes"" in Class 30.",,"""11-2020"""
030-1838,30,Savory pancake mixes,A,01-01-2020,GOODS,,,"""11-2020"""
030-1545,30,Batter mixes for okonomiyaki (Japanese savory pancakes),D,01-01-2020,GOODS,"On 01-01-2020, this 01-01-2016 entry was deleted in compliance with Nice 11-2020. This entry is replaced by ""Savory pancake mixes"" in Class 30.",,"""11-2020"""
030-1221,30,Korean-style dried seaweed rolls containing cooked rice (gimbap),D,01-01-2020,GOODS,"On 09-06-2012, this 08-09-2012 entry was amended to replace the brackets with parentheses. On 01-01-2020, this 09-06-2012 entry was deleted in compliance with Nice 11-2020. This entry is replaced by ""Prepared rice rolled in seaweed"" in Class 30.",,"""11-2020"""
030-1546,30,Gimbap (Korean rice dish),D,01-01-2020,GOODS,"On 01-01-2020, this 01-01-2016 entry was deleted in compliance with Nice 11-2020. This entry is replaced by ""Prepared rice rolled in seaweed"" in Class 30.",,"""11-2020"""
030-650,30,Soy bean paste,A,10-01-2005,GOODS,"01-01-2020 - Soy bean paste is used as a flavoring. Soy bean paste is also called ""miso.""",,"""08-2002"""
030-324,30,Bean paste,A,06-01-2001,GOODS,01-01-2020 - Bean paste is used as a flavoring.,,"""07-1997"""
008-4213,8,"Hand-operated tools for reaching, grabbing, and handling small objects",A,11-12-2020,GOODS,,,"""11-2020"""
008-4216,8,Electric pedicure tools,A,11-12-2020,GOODS,"Pedicure tools is acceptable wording; further specification is acceptable, but it is not required.",,"""11-2020"""
008-4214,8,Electric manicure tools,A,11-12-2020,GOODS,"Manicure tools is acceptable wording; further specification is acceptable, but it is not required.",,"""11-2020"""
008-4215,8,Pedicure tools,A,11-12-2020,GOODS,,,"""11-2020"""
040-1045,40,"Framing of works of art in the nature of {indicate, e.g., posters, paintings, etc.}",A,11-12-2020,SERVICES,"Framing of works of art is acceptable wording; further specification is acceptable, but it is not required.",,"""11-2020"""
020-1645,20,"Non-metal hanging closet organizers for {specify, e.g., shoes, sweaters, purses, etc.}",A,07/23/2015,GOODS,"01-01-2022 - Hanging closet organizers is acceptable wording; further specification is acceptable, but it is not required.",,"""10-2015"""
